StudentID,num__Age,num__StudyHours,num__Attendance,num__PreviousGPA,num__AssignmentsCompleted,num__SleepHours,num__InternetHours,cat__Scholarship_No,cat__Scholarship_Sí,cat__Program_Administración,cat__Program_Contador Auditor,cat__Program_Ingeniería Civil,cat__Program_Ingeniería Industrial,cat__Program_Ingeniería Informática,FinalGrade
STU-10522,-0.4334725044325135,-0.2887499849183104,-0.10164055330480296,0.5259389038798356,-1.168177302209016,-0.6043007918355082,-0.5886461655243558,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.96
STU-10947,2.559704500514979,-0.4602820252459406,1.4653524541300935,1.4616564067271016,-0.6051702797904716,-0.39844124169898637,0.5230661984944246,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.09
STU-11352,0.6076325407666144,0.26872914614648785,0.7791141805527451,0.4980070381232013,0.7691442980106933,-0.2502223656006901,0.016076494024321635,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4.37
STU-12298,0.8679088020663964,1.7675924509141137,-0.2991191931831769,-0.8706543839519053,0.4060769489382215,-0.6948789938955774,-0.1549561773631832,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4.02
STU-13527,-0.9540250270320775,-1.1933772928366457,-1.4405457316801786,-1.2198027059098404,-1.5254702202823234,-0.5795976458191254,-0.6772166560643136,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.24
STU-11440,-0.6937487657322955,0.3463269739137493,0.0657225939921197,1.3638948765788808,0.6125128571583545,-1.0571918021358562,-0.3565303972127421,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.65
STU-11553,-0.4334725044325135,2.595387699102364,1.2293654794754365,1.7968387958067198,1.0585876518438173,0.8531848231310664,-1.028444463377939,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6.63
STU-13546,0.34735627946683245,0.5382794952327639,-2.136657937251447,1.0985421518908494,-0.018343729500373388,0.21090302670511862,0.8468066121922014,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.97
STU-14415,2.559704500514979,-0.821724538793447,0.33972420682336274,-1.2756664374231101,0.4132949876871778,0.013277858574057428,-0.1580103322093886,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4.17
STU-11738,0.34735627946683245,-1.6814267885307366,-0.8619333168365431,-0.36788080033247816,-2.503514470765821,1.0590443732675883,1.7233490530531632,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.83
STU-11735,-1.4745775496316413,-0.6032253921856322,0.41772826957531967,-0.758926920925366,-0.21467438347196835,1.1825601033495017,-0.8268702435283801,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.32
STU-10686,0.6076325407666144,-1.499684507707414,-1.1314916602705238,0.4421433066099316,-1.9657705839686213,2.6729832463379206,0.46809141126272674,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.11
STU-14277,2.1692901085653062,0.8119139405173168,-0.10460273290297868,-0.39581266608911364,0.1729342973469531,0.5485126889290146,-1.526271703309426,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.73
STU-11715,1.6487375859657423,0.5137749180431026,-1.148277344660186,0.4840411052448829,0.38514463656625053,-0.3490349496662207,-0.4878590555995762,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.24
STU-14530,-0.9540250270320775,-0.23769878243984902,-0.04042217494250799,0.7493938299329143,0.19170119809423725,-1.452442138397978,-1.0742567860710208,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.09
STU-14655,0.8679088020663964,-0.9687520019314156,0.14619513974255546,0.6935300984196445,-0.6044484759155766,0.09562167862866662,0.18405501056562082,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.62
STU-13555,0.6076325407666144,-1.2321762067202764,0.0657225939921197,-1.4292916990846007,-0.8513054011298606,0.02151224057951886,0.037455577947759805,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.05
STU-12994,-0.6937487657322955,-0.47253431384077105,-1.0979202914912,-0.8287565853169527,-1.0793954255968616,1.380185271480563,0.7887776701142982,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.58
STU-10322,0.34735627946683245,-0.07229288640963409,-0.5242448426445233,-0.2002896057926691,-0.18002779747698072,0.14502797066143155,1.7599989112076284,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.61
STU-10564,1.3884613246659603,0.9650675479527009,-0.4689508234785784,0.23265431343516998,1.0585876518438173,-0.90897292603756,-1.1903146702268275,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.25
STU-13999,-1.4745775496316413,-0.42148311136230965,-1.2983611109677498,1.4756223396054189,-1.2771696873182474,0.36735628480887556,0.19932578479664798,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.52
STU-10173,0.34735627946683245,0.4096304649870411,0.8916770052834183,1.7968387958067198,-0.6925085486528361,-0.16787854554608161,0.25735472687455146,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.76
STU-14145,0.08708001816705048,2.595387699102364,1.5048481821057689,1.6152816683885936,0.7301668887663331,0.943763025191137,0.8162650637301472,1.0,0.0,0.0,0.0,1.0,0.0,0.0,6.2
STU-13109,0.34735627946683245,-0.6338561136727091,-0.418593770309594,-0.4516763976023833,0.14189673072644307,-0.2749255116170729,-0.680270810910519,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.91
STU-12215,-1.2143012883318594,0.30140191573270314,1.3567392021969884,0.10696091753031352,1.0585876518438173,-1.7241767445781868,-1.3766181158453592,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.99
STU-11673,0.34735627946683245,-1.136199946060769,-1.7347889050989562,-1.191870840153205,-3.150250742672252,1.4131227995024072,0.9384312575783649,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.57
STU-12193,-0.6937487657322955,-0.6195617769787399,0.4977071187260614,0.26058617919180543,-0.9191549653700452,0.7543722390655365,-0.4023427199058238,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.32
STU-14617,0.08708001816705048,0.2074677031723344,-0.2833209019929073,0.14885871616526608,1.0585876518438173,-1.790051800621874,0.9445395672707757,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.71
STU-10533,-0.6937487657322955,0.21767794366802645,0.3268880952312675,-1.1220411757616182,0.1729342973469531,-0.5219569717808991,0.578040985726123,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.98
STU-14192,-0.4334725044325135,-1.032055493004708,-0.8214501956614767,-1.9739630813389806,-2.064657714829315,1.618982349638929,0.42533324341585066,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.52
STU-11985,-0.4334725044325135,-2.2695366410826114,-1.755524162286185,-0.9823818469784447,-0.9444181009913897,0.33441875678703203,-0.7199748239111896,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.46
STU-13649,0.34735627946683245,1.1018847705949777,-0.5104213378530371,1.3638948765788808,1.0585876518438173,1.2566695413986495,-1.565975716310097,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5.11
STU-14038,-1.2143012883318594,0.3034439638318415,0.7307319137825425,-0.5634038606289227,1.0585876518438173,-0.5548944998027425,0.37952092072276894,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.29
STU-13059,0.8679088020663964,0.15641650069387303,-2.5049556006246143,1.0147465546209455,-0.2818021438372558,0.04621538659590096,0.831535837961174,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.58
STU-13506,0.08708001816705048,-0.023283732030311134,0.0657225939921197,-0.5773697935072397,0.37576118619260845,0.8449504411256057,0.4589289467241106,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.74
STU-11411,1.1281850633661783,0.046145903340396296,-0.6585303177618176,1.5873498026319581,-1.8430639252363745,-2.3582241589986745,0.9262146381935429,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.03
STU-13000,-0.6937487657322955,0.9916141732415006,0.5263415215084262,-0.1025280756444481,1.0585876518438173,0.9849349352184406,-0.7810579208352986,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.38
STU-10378,-0.1731962431327315,-0.5644264783020017,-0.7612192104985727,1.1264740176474837,0.307911621952424,-1.1724731502123082,-1.089527560302048,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.89
STU-13326,-1.4745775496316413,0.8221241810130092,0.3416989932221461,1.0007806217426272,0.9546478938588553,-0.5384257357918212,-0.5275630686002469,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5.15
STU-11192,1.1281850633661783,-1.975481714806674,0.39699301238809104,-0.22822147154930458,-1.1104329922173706,0.07915291461774449,-1.2116937541502657,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.69
STU-12137,1.1281850633661783,-0.4010626303709252,-1.5718690271992972,0.5818026353931052,-0.6463131006595195,-1.452442138397978,1.833298627516559,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.01
STU-10611,-0.9540250270320775,1.0120346542328855,0.45327442475342694,1.140439950525802,1.0585876518438173,-0.5301913537863597,-0.13357709343974503,0.0,1.0,0.0,0.0,1.0,0.0,0.0,5.26
